"","comments","comments_id","clean_comments","segged_comments"
"24472",": 真的建議不要這麼自私","whitelady","真的建議不要這麼自私",""
"24473",": 無法過富裕生活就不想被生出來的 人生是多貧乏悲慘啊？","bobee","無法過富裕生活就不想被生出來的人生是多貧乏悲慘啊？",""
"24474",": 看到這種言論就覺得台灣真的教育失敗 眼裏只有錢","bobee","看到這種言論就覺得台灣真的教育失敗眼裏只有錢",""
"24475",": 廢文","sparkle","廢文",""
"24476",": 不是只有錢，是讀書高的風氣","twmarstw7758","不是只有錢，是讀書高的風氣",""
"24477",": 所以比不上國外自由就是從推文看就知道","twmarstw7758","所以比不上國外自由就是從推文看就知道",""
"24478",": 我以前背著學貸 然後大學幾乎沒有社交生活 結果整天為了錢","chiick","我以前背著學貸然後大學幾乎沒有社交生活結果整天為了錢",""
"24479",": 煩惱 最後整個跟同學脫節 這真的是好事嗎 我常常因為生活","chiick","煩惱最後整個跟同學脫節這真的是好事嗎我常常因為生活",""
"24480",": 費不夠吃飯躲在床上哭 同學關心 但我實在不想讓別人知道我","chiick","費不夠吃飯躲在床上哭同學關心但我實在不想讓別人知道我",""
"24481",": 日子過的如此難堪 最後什麼都沒了 還因為憂鬱症差點把自己","chiick","日子過的如此難堪最後什麼都沒了還因為憂鬱症差點把自己",""
"24482",": 餓死在租屋 拜託給孩子一個能專心學習的環境好嗎","chiick","餓死在租屋拜託給孩子一個能專心學習的環境好嗎",""
"24483",": 推樓上，也是從大學就負債QQ，為了溫飽肚子無心向學","tiiyuway","推樓上，也是從大學就負債QQ，為了溫飽肚子無心向學",""
"24484",": 說真的要父母付房貸的真的廢到笑","Mochi0825","說真的要父母付房貸的真的廢到笑",""
"24485",": 可是我也學貸，能貸的都貸，加上打工課業吃住都沒問題啊，","itsdj","可是我也學貸，能貸的都貸，加上打工課業吃住都沒問題啊，",""
"24486",": 偶而還能申請個獎學金","itsdj","偶而還能申請個獎學金",""
"24487",": 我弟評估他這樣不行就念三流夜間部練身體現在也在德國過的","itsdj","我弟評估他這樣不行就念三流夜間部練身體現在也在德國過的",""
"24488",": 很爽","itsdj","很爽",""
"24489",": 而且說真的不想一邊賺錢一邊工作可以先工作個一年再去念書","itsdj","而且說真的不想一邊賺錢一邊工作可以先工作個一年再去念書",""
"24490",": 啊","itsdj","啊",""
"24491",": 支付到大學畢業","amber0313","支付到大學畢業",""
"24492",": 會供應到讀完書 想進修就幫他出錢 不想就出去工作賺錢","Dreamerrr","會供應到讀完書想進修就幫他出錢不想就出去工作賺錢",""
"24493",": 要小孩脫貧至少要到大學畢業，工讀就輸別人一大半，重技","natsufi","要小孩脫貧至少要到大學畢業，工讀就輸別人一大半，重技",""
"24494",": 術的大公司多要研究所學歷","natsufi","術的大公司多要研究所學歷",""
"24495",": 父母缺錢天天憂鬱症講遺言講生小孩沒用，小孩還能不覺得","natsufi","父母缺錢天天憂鬱症講遺言講生小孩沒用，小孩還能不覺得",""
"24496",": 不該出生嗎？於是終生都在為了證明自己存在價值而活著","natsufi","不該出生嗎？於是終生都在為了證明自己存在價值而活著",""
"24497",": 看到12樓 覺得看到天涯淪落人 不過家裡不是因為錢的因素","san0410","看到12樓覺得看到天涯淪落人不過家裡不是因為錢的因素",""
"24498",": 不裝熱水器","san0410","不裝熱水器",""
"24499",": 貓貓  直接發貓文很難？","jetaime851","貓貓直接發貓文很難？",""
"24500",": 有樣  學樣 ; 無樣  自創","JokePtt","有樣學樣;無樣自創",""
"24501",": #圖文不符#太誇張了 真的#別以為有貓我就推#安餒母湯","songlahaha","#圖文不符#太誇張了真的#別以為有貓我就推#安餒母湯",""
"24502",": #Metoo","bcllas","#Metoo",""
"24503",": 這是什麼貓??","Husky168","這是什麼貓??",""
"24504",": 到底要怎樣養貓才會養出這種貓","joseph1357","到底要怎樣養貓才會養出這種貓",""
"24505",": 不然呢 很多人就是這樣養貓養狗呀 想出去就出去呀","nonocom","不然呢很多人就是這樣養貓養狗呀想出去就出去呀",""
"24506",": 又不是不讓他回來","nonocom","又不是不讓他回來",""
"24507",": 有些人對寵物與小孩是不同的~ 即使以前再疼愛也可能棄養","juju1019","有些人對寵物與小孩是不同的~即使以前再疼愛也可能棄養",""
"24508",": 我家兩戶親戚就是這樣 也是很疼小孩 只是都比我廢而己","nonocom","我家兩戶親戚就是這樣也是很疼小孩只是都比我廢而己",""
"24509",": 認識二個結婚生子丟貓的 一個老公外遇 一個小孩有遺傳","wolfplay","認識二個結婚生子丟貓的一個老公外遇一個小孩有遺傳",""
"24510",": 性疾病(不嚴重 跟貓無關 是遺傳老公的 而且她一結婚就","wolfplay","性疾病(不嚴重跟貓無關是遺傳老公的而且她一結婚就",""
"24511",": 棄養了)我覺得多少有報應","wolfplay","棄養了)我覺得多少有報應",""
"24512",": 我覺得你敘述了一個普通人 就只是人畜有別吧","sarasay","我覺得你敘述了一個普通人就只是人畜有別吧",""
"24513",": 五樓對於家裡沒養寵物 但是孩子有問題的 你認為是什麼報應","Sioli","五樓對於家裡沒養寵物但是孩子有問題的你認為是什麼報應",""
"24514",": 所以餵偉X飼料怎麼了?","rizzo123","所以餵偉X飼料怎麼了?",""
"24515",": 每天吃麥當勞好像也不太健康（茶$","PetWife","每天吃麥當勞好像也不太健康（茶$",""
"24516",": 五樓說是報應也太過分...","musetime","五樓說是報應也太過分",""
"24517",": 見微知著","SnowAmy","見微知著",""
"24518",": 很難說....也是有不負責的家人拋棄孩子的新聞一直上演","leoth","很難說也是有不負責的家人拋棄孩子的新聞一直上演",""
"24519",": 看看我哥 嗯…他寵物怎麼養的 小孩也怎麼養","mimix1986","看看我哥嗯…他寵物怎麼養的小孩也怎麼養",""
"24520",": 也有做愛心的人拋家妻子","quanfour","也有做愛心的人拋家妻子",""
"24521",": 還是小孩出生後，整個父愛母愛大爆發，想想也是有可能？","minijill","還是小孩出生後，整個父愛母愛大爆發，想想也是有可能？",""
"24522",": ！","minijill","！",""
"24523",": 養小孩的理由跟養寵物不一樣 那就不能依此類推","ownlife","養小孩的理由跟養寵物不一樣那就不能依此類推",""
"24524",": 小孩的未來很久遠;寵物養個幾年 之後差不多就是那個樣子了","Kouson","小孩的未來很久遠;寵物養個幾年之後差不多就是那個樣子了",""
"24525",": 如果你硬要把牠當成人類來扶養 那當牠7歲還不會講人話時","Kouson","如果你硬要把牠當成人類來扶養那當牠7歲還不會講人話時",""
"24526",": 怎麼不送牠去檢查甚至拿個發展遲緩的相關手冊？","Kouson","怎麼不送牠去檢查甚至拿個發展遲緩的相關手冊？",""
"24527",": 棄養小孩跟寵物面對的法律問題有差","lf2597","棄養小孩跟寵物面對的法律問題有差",""
"24528",": 我最討厭為了小孩把寵物送走的 當初就別養 超垃圾","lword","我最討厭為了小孩把寵物送走的當初就別養超垃圾",""
"24529",": 基本上這是兩件事情，不然重男輕女怎麼來的。都還是自己","cat0429","基本上這是兩件事情，不然重男輕女怎麼來的。都還是自己",""
"24530",": 生的耶！","cat0429","生的耶！",""
"24531",": 棄養寵物跟人渣沒兩樣","OGCer","棄養寵物跟人渣沒兩樣",""
"24532",": 也許不會棄養小孩，但我很難想像他會「好好」養小孩","meg6","也許不會棄養小孩，但我很難想像他會「好好」養小孩",""
"24533",": 可能會養 但是養不好","f17orget","可能會養但是養不好",""
"24534",": 見微知著+1","emmalouis","見微知著+1",""
"24535",": 寵物跟小孩根本兩碼子事 拿在一起比不知道比什麼的","Sioli","寵物跟小孩根本兩碼子事拿在一起比不知道比什麼的",""
"24536",": 樓上有看到我說的是責任感嗎，如果對這條生命沒有責任感","minijill","樓上有看到我說的是責任感嗎，如果對這條生命沒有責任感",""
"24537",": ，怎麼相信你對另條生命有責任感？還是動物的生命不是命","minijill","，怎麼相信你對另條生命有責任感？還是動物的生命不是命",""
"24538",": ，只有人類才是","minijill","，只有人類才是",""
"24539",": 我相信很多人是這麼想的沒錯","drajan","我相信很多人是這麼想的沒錯",""
"24540",": 愛心是不變的","lanhow","愛心是不變的",""
"24541",": 要人家解惑結果你早有定見嘛","jimmyyang","要人家解惑結果你早有定見嘛",""
"24542",": 小時候書讀不好長大就讀不好嗎 蛤 都是學生時代的責任","jimmyyang","小時候書讀不好長大就讀不好嗎蛤都是學生時代的責任",""
"24543",":","jimmyyang","",""
"24544",": 養不好+1，責任感問題","sonok","養不好+1，責任感問題",""
"24545",": 一定不會的","c8c812345678","一定不會的",""
"24546",": 基本上這是兩碼子事,小孩是家人,寵物就只是寵物,結案","WaLaGiGi","基本上這是兩碼子事,小孩是家人,寵物就只是寵物,結案",""
"24547",": 我認識一個女的丟過貓，養小孩也是很隨便，硬要生2個","PONPON1012","我認識一個女的丟過貓，養小孩也是很隨便，硬要生2個",""
"24548",": 再丟給自己爸媽出錢出力養","PONPON1012","再丟給自己爸媽出錢出力養",""
"24549",": 我姊寵物跟小孩都丟娘家  要不是棄養小孩會被告她應該很","ansower","我姊寵物跟小孩都丟娘家要不是棄養小孩會被告她應該很",""
"24550",": 想把小孩丟掉","ansower","想把小孩丟掉",""
"24551",": 生男生又不一定是只有擔心一隻唧唧，也有可能要擔心很多","MissFaye","生男生又不一定是只有擔心一隻唧唧，也有可能要擔心很多",""
"24552",": 隻啊","MissFaye","隻啊",""
"24553",": 比較擔心有兩隻集集","jameshcm","比較擔心有兩隻集集",""
"24554",": 一直那邊GG，把攻擊直升機放在哪裡？也要擔心油槍！","revorea","一直那邊GG，把攻擊直升機放在哪裡？也要擔心油槍！",""
"24555",": 現在的年代喔，不論生男生女都要小心雞雞攻擊","kamelol","現在的年代喔，不論生男生女都要小心雞雞攻擊",""
"24556",": 男的也要擔心很多雞雞。。","sunkim","男的也要擔心很多雞雞。。",""
"24557",": XDD","beams156","XDD",""
"24558",": 怕是有雞雞沒得用 台男悲歌","zhi5566","怕是有雞雞沒得用台男悲歌",""
"24559",": 女的雞雞可以一直換 還可以換白人雞 男生換不到金斯貓","zhi5566","女的雞雞可以一直換還可以換白人雞男生換不到金斯貓",""
"24560",": 擔心雞雞用性別來分？你確定？","ccnoire","擔心雞雞用性別來分？你確定？",""
"24561",": 同意","Naturallyer","同意",""
"24562",": 擔心數量，生女生:雞雞莋，兒子:雞雞蛂]n+1）","pttwilliam","擔心數量，生女生雞雞莋，兒子雞雞蛂]n+1）",""
"24563",": 女。因為我男","GU790929","女。因為我男",""
"24564",": 養男的 雖然說男女平等 但實際上還是有玻璃天花板等優勢","s955346","養男的雖然說男女平等但實際上還是有玻璃天花板等優勢",""
"24565",": 在就業上 男生遠比女生好找工作","s955346","在就業上男生遠比女生好找工作",""
"24566",": 我最喜歡女盒兒惹<U+2661>","conie88","我最喜歡女盒兒惹<U+2661>",""
"24567",": 女","cashko","女",""
"24568",": 男","LuciusMalfoy","男",""
"24569",": 女，因為不希望父母雙亡","twmarstw7758","女，因為不希望父母雙亡",""
"24570",": 當然養女兒","orzzz","當然養女兒",""
"24571",": 最好男女都有啊，不一樣的樂趣","Vataeli","最好男女都有啊，不一樣的樂趣",""
"24572",": 男欸，我女的","vm3u4c04","男欸，我女的",""
"24573",": 首先沒生男你老婆要先過公婆那一關 老公擋的住再說","wolfcry","首先沒生男你老婆要先過公婆那一關老公擋的住再說",""
"24574",": 第一胎想要女生～～～～","catcc4406ma","第一胎想要女生",""
"24575",": 養女的說不定可以跟朋友的女兒配對呀XD男的同理","feedback","養女的說不定可以跟朋友的女兒配對呀XD男的同理",""
"24576",": 想生男的，因為生女生我會很擔心…","InHanchiao2","想生男的，因為生女生我會很擔心…",""
"24577",": 男生，感覺好多先生有女兒後只愛孩子不愛太太QQ","beumoyi","男生，感覺好多先生有女兒後只愛孩子不愛太太QQ",""
"24578",": 男 我想生兩胎哥哥照顧妹妹","amy660156","男我想生兩胎哥哥照顧妹妹",""
"24579",": 說要哥哥照顧妹妹也太難了XD","winky790718","說要哥哥照顧妹妹也太難了XD",""
"24580",": 應該說男生高薪的工作比女生多的多","survivalteru","應該說男生高薪的工作比女生多的多",""
"24581",": 只生ㄧ個我ㄧ定選女兒","survivalteru","只生ㄧ個我ㄧ定選女兒",""
"24582",": 男","hazeljane","男",""
"24583",": 男，然後再生一個女兒。小時候一直希望有個哥哥可以","colleen1126","男，然後再生一個女兒。小時候一直希望有個哥哥可以",""
"24584",": 靠啊!!","colleen1126","靠啊!!",""
"24585",": 女，因為怕養到臭酸肥宅呵呵","hsyuhe","女，因為怕養到臭酸肥宅呵呵",""
"24586",": 男","whoohoo","男",""
"24587",": 男生怕他作姦犯科，女生怕她被搞大肚子","azdc","男生怕他作姦犯科，女生怕她被搞大肚子",""
"24588",": 男，生女的怕會為她煩惱到死QQ","maye","男，生女的怕會為她煩惱到死QQ",""
"24589",": 男孩","lookinsky","男孩",""
"24590",": 女","minabeauty","女",""
"24591",": 都不要養   養女的以後被罵母豬   養男的上網罵別人女","evelynaway","都不要養養女的以後被罵母豬養男的上網罵別人女",""
"24592",": 兒母豬","evelynaway","兒母豬",""
"24593",": 被樓上笑死","wanchu01","被樓上笑死",""
"24594",": <3好可愛…","emmayday","<3好可愛…",""
"24595",": 男的。因為女生太危險了，要煩腦太多","Naturallyer","男的。因為女生太危險了，要煩腦太多",""
"24596",": 男，女生通常要煩惱比較多安全問題","Cain04041015","男，女生通常要煩惱比較多安全問題",""
"24597",": 當然女生阿","poyu","當然女生阿",""
"24598",": 一個哥哥一個妹妹（我就是超級哥控","sarah184821","一個哥哥一個妹妹（我就是超級哥控",""
"24599",": 男  不希望生女的被罵母X","qqisme0","男不希望生女的被罵母X",""
"24600",": 男。覺得男友只能寵我一個。","greenmi","男。覺得男友只能寵我一個。",""
"24601",":我以前都把小表弟(3歲)往高空拋上去  他玩的可高興勒","ts1688","我以前都把小表弟(3歲)往高空拋上去他玩的可高興勒",""
"24602",":給你個溫馨推~~:)","sungu","給你個溫馨推~~)",""
"24603",":不過我都是在床上拋他就是     別鞭我","ts1688","不過我都是在床上拋他就是別鞭我",""
"24604",":男人帶小孩最怕一件事 ~吵著要找媽媽~ 所以要想辦法轉移小","ts1688","男人帶小孩最怕一件事~吵著要找媽媽~所以要想辦法轉移小",""
"24605",":孩注意力 這時候男人會有很多怪招出來.....嘿嘿","ts1688","孩注意力這時候男人會有很多怪招出來嘿嘿",""
"24606",":你男友蠻不錯的","fairycakes","你男友蠻不錯的",""
"24607",":原來有男人會覺得帶小孩是幫忙的  @ @"" 這我真的不知道","snubi","原來有男人會覺得帶小孩是幫忙的@@""這我真的不知道",""
"24608",":我一直覺的共同照顧是應該的~","snubi","我一直覺的共同照顧是應該的~",""
"24609",":說不定原PO回來發現寶寶學了一些怪怪的習慣  顆顆","ts1688","說不定原PO回來發現寶寶學了一些怪怪的習慣顆顆",""
"24610",":推~~現在職業媽媽真得很辛苦~~","CHRISTINAYEN","推~~現在職業媽媽真得很辛苦~~",""
"24611",":可以多說些男友的缺點嗎 你再誇他下去 我都想找北歐人","fairycakes","可以多說些男友的缺點嗎你再誇他下去我都想找北歐人",""
"24612",":當結婚對象了 哈哈XD","fairycakes","當結婚對象了哈哈XD",""
"24613",":英國..","m06","英國",""
"24614",":都是耐性的問題而已","secpeda","都是耐性的問題而已",""
"24615",":男人如果覺得代孩子是幫忙,尚可接受,畢竟也真的實質付","lankwaifong","男人如果覺得代孩子是幫忙,尚可接受,畢竟也真的實質付",""
"24616",":出了,最可恨的是男人的父母會因此責怪媳婦","lankwaifong","出了,最可恨的是男人的父母會因此責怪媳婦",""
"24617",":看起來好好喔=w=","Belialdeng","看起來好好喔=w=",""
"24618",":我們這一代的男人也差不多呀XD 認識的台灣跟日本爸爸們","megaboost","我們這一代的男人也差不多呀XD認識的台灣跟日本爸爸們",""
"24619",":也都會帶小孩,洗澡跟弄尿布唷XD","megaboost","也都會帶小孩,洗澡跟弄尿布唷XD",""
"24620",":(舉手) 我想請問 這是芬蘭人的普遍想法 還是他們家人特","fairycakes","(舉手)我想請問這是芬蘭人的普遍想法還是他們家人特",""
"24621",":別NICE","fairycakes","別NICE",""
"24622",":我覺得是國外男女平權真的落實耶~哪像台灣XD","lankwaifong","我覺得是國外男女平權真的落實耶~哪像台灣XD",""
"24623",": 沒有遇到過","artpower","沒有遇到過",""
"24624",": 知道某檢察官的女友 在他們讀大學時 當學生就懷孕了","IDfor2010","知道某檢察官的女友在他們讀大學時當學生就懷孕了",""
"24625",": 沒有。 不過不孕的倒是不算罕見","ymx3xc","沒有。不過不孕的倒是不算罕見",""
"24626",": 建中 以前好像有耳聞一個 不過是搞大景美的","IDfor2010","建中以前好像有耳聞一個不過是搞大景美的",""
"24627",": 不過那個建中好像考上醫科 還哪裡","IDfor2010","不過那個建中好像考上醫科還哪裡",""
"24628",": 沒聽過，但離婚的倒是不少對。","BearDora","沒聽過，但離婚的倒是不少對。",""
"24629",": 我以前當兵的時候，還有個同梯的，跟我年紀差不多","IDfor2010","我以前當兵的時候，還有個同梯的，跟我年紀差不多",""
"24630",": 但他說他結婚有小孩了，我問：那小孩多大？","IDfor2010","但他說他結婚有小孩了，我問：那小孩多大？",""
"24631",": 他說快讀高中，還是已經讀高中了","IDfor2010","他說快讀高中，還是已經讀高中了",""
"24632",": 他說在他國中的時候，搞大他同班的女同學，就這樣了","IDfor2010","他說在他國中的時候，搞大他同班的女同學，就這樣了",""
"24633",": 但是他有補完大學學歷 他好像讀了交大還是清大的某科系","IDfor2010","但是他有補完大學學歷他好像讀了交大還是清大的某科系",""
"24634",": 他老婆好像後來也有念完大學，但好像不同校","IDfor2010","他老婆好像後來也有念完大學，但好像不同校",""
"24635",": 而且為了照顧小孩，他們夫妻還錯開時間 隔好幾年讀大學","IDfor2010","而且為了照顧小孩，他們夫妻還錯開時間隔好幾年讀大學",""
"24636",": 有啊...只是不會讓大家知道","fairy241","有啊只是不會讓大家知道",""
"24637",": 認識一個還在讀清大研究所期間不小心搞大女友肚子","ashkaze","認識一個還在讀清大研究所期間不小心搞大女友肚子",""
"24638",": 後來有馬上結婚就是反正男方家人可以幫照顧","ashkaze","後來有馬上結婚就是反正男方家人可以幫照顧",""
"24639",": 我印象中他是說 他們夫妻是錯開3年的時間 大學入學","IDfor2010","我印象中他是說他們夫妻是錯開3年的時間大學入學",""
"24640",": 沒上大學的那個要去工作 上大學那個要半工半讀 養孩子","IDfor2010","沒上大學的那個要去工作上大學那個要半工半讀養孩子",""
"24641",": 希望之後未婚生子不再是低學歷女性的標籤，而是自主選擇","c80352","希望之後未婚生子不再是低學歷女性的標籤，而是自主選擇",""
"24642",": 婚育脫鉤、單身求孩女子的常態","c80352","婚育脫鉤、單身求孩女子的常態",""
"24643",": 之前看康熙有個台大的 要出國讀書小孩也一起帶去","Cindy971201","之前看康熙有個台大的要出國讀書小孩也一起帶去",""
"24644",": 蠻有趣的議題，看起來學歷的高低也會一定程度影響生小孩","trex995","蠻有趣的議題，看起來學歷的高低也會一定程度影響生小孩",""
"24645",": 的意願，或許是顧慮的事情變多了","trex995","的意願，或許是顧慮的事情變多了",""
"24646",": 會怎樣嗎？","Antihsieh","會怎樣嗎？",""
"24647",": 有，跟男教授搞上的女學生","glion","有，跟男教授搞上的女學生",""
"24648",": 希望有讀書的多生一點，低端人補助結紮","deadeyes","希望有讀書的多生一點，低端人補助結紮",""
"24649",": 很多 我最喜歡的老師就不婚不生 把學生當自己小孩一樣","AliceHsu","很多我最喜歡的老師就不婚不生把學生當自己小孩一樣",""
"24650",":  她說最大的夢想就是一直講課到在講台上過世XD","AliceHsu","她說最大的夢想就是一直講課到在講台上過世XD",""
"24651",": 看錯標題QQ 還以為是說不生子","AliceHsu","看錯標題QQ還以為是說不生子",""
"24652",": 我媽的同事","frank0707","我媽的同事",""
"24653",": 我以為是未婚又未生子QQ","frank0707","我以為是未婚又未生子QQ",""
"24654",": 真的沒遇過，但有不少在年紀不大的時候（25以下）就","yuxxoholic","真的沒遇過，但有不少在年紀不大的時候（25以下）就",""
"24655",": 有計畫地結婚生子了的","yuxxoholic","有計畫地結婚生子了的",""
"24656",": 未婚生子才是正確的, 可以結婚的人基因不一定好, 例如","pornstar","未婚生子才是正確的,可以結婚的人基因不一定好,例如",""
"24657",": 台男愛上一個矮瘦女, 但矮瘦女基因差, 正解就是跟矮瘦","pornstar","台男愛上一個矮瘦女,但矮瘦女基因差,正解就是跟矮瘦",""
"24658",": 女結婚, 但在外面另找一個基因好的妹子配種","pornstar","女結婚,但在外面另找一個基因好的妹子配種",""
"24659",": 同意樓上，洋男的基因最讚了，高又五官深邃，混血寶寶","ilap84032","同意樓上，洋男的基因最讚了，高又五官深邃，混血寶寶",""
"24660",": 很可愛","ilap84032","很可愛",""
"24661",": 一個朋友博班最後一年懷孕了，現在她在大學教書，男","bluelygrey","一個朋友博班最後一年懷孕了，現在她在大學教書，男",""
"24662",": 友專心帶孩子(兩個還是沒去結婚)","bluelygrey","友專心帶孩子(兩個還是沒去結婚)",""
"24663",": 學歷越高越懂墮啊 懂的思考有沒有時間養","mistral5140","學歷越高越懂墮啊懂的思考有沒有時間養",""
"24664",": 哪像一些傻傻的套也不戴事後也不處理","mistral5140","哪像一些傻傻的套也不戴事後也不處理",""
"24665",": 有 頂尖名校莊敬育達的","king123","有頂尖名校莊敬育達的",""
"24666",": 高學歷的朋友不是gay就是出國工作自己住大房子放假做甜","plnceto","高學歷的朋友不是gay就是出國工作自己住大房子放假做甜",""
"24667",": 點 最多就是剛結婚或剛訂婚...都30初了...","plnceto","點最多就是剛結婚或剛訂婚都30初了",""
"24668",": 我自己身邊是結婚不生比較多","iwilltry","我自己身邊是結婚不生比較多",""
"24669",": 過得很爽","cott","過得很爽",""
"24670",": 有，我們公司有一個協理，留美博士，沒結婚，去年忽然說","peiring","有，我們公司有一個協理，留美博士，沒結婚，去年忽然說",""
"24671",": 他懷孕了，後來生了一個可愛寶寶，請了半年育嬰假，今年","peiring","他懷孕了，後來生了一個可愛寶寶，請了半年育嬰假，今年",""
"24672",": 回公司後升副總了","peiring","回公司後升副總了",""
"24673",": 有。我有聽過台大女生去墮胎，真人真事。","chungrew","有。我有聽過台大女生去墮胎，真人真事。",""
"24674",": 台大女生有去墮胎的，其實比你想像中多。","chungrew","台大女生有去墮胎的，其實比你想像中多。",""
"24675",": 你有證據嗎？ 聽說就是沒有，那就算散播謠言，針對台大講","cat0429","你有證據嗎？聽說就是沒有，那就算散播謠言，針對台大講",""
"24676",": ，感覺滿滿的嫉妒。至於女人本來就有權決定她是否要跟別","cat0429","，感覺滿滿的嫉妒。至於女人本來就有權決定她是否要跟別",""
"24677",": 人上床，要墮胎，這是她的身體自主權。","cat0429","人上床，要墮胎，這是她的身體自主權。",""
"24678",": 未婚生子不一定是不好，如果你心理和生理都已成熟，也有","peiring","未婚生子不一定是不好，如果你心理和生理都已成熟，也有",""
"24679",": 一定經濟能力，在少子化的現在鼓勵女性未婚生子也是一種","peiring","一定經濟能力，在少子化的現在鼓勵女性未婚生子也是一種",""
"24680",": 選擇","peiring","選擇",""
"24681",": 那晚的月光","stoiclogic","那晚的月光",""
"24682",": 未婚生子通常不管學歷都很低調吧，一定有就是了","abcrr123","未婚生子通常不管學歷都很低調吧，一定有就是了",""
"24683",": 無聊","david80531","無聊",""
"24684",": 前陣子不是一個政大日文嗎","LCWA103A","前陣子不是一個政大日文嗎",""
"24685",": 小我兩屆台大純血學妹是挺著肚子過碩論口試的","shorty696820","小我兩屆台大純血學妹是挺著肚子過碩論口試的",""
"24686",": 我大學的教授啊，到德國拿博士，回國當教授，聽說回國後","aawilly","我大學的教授啊，到德國拿博士，回國當教授，聽說回國後",""
"24687",": 再也沒交過男友","aawilly","再也沒交過男友",""
"24688",": 高中時聽過老師說那時有個上台大的學姐 大二懷孕 然後就","nijivon","高中時聽過老師說那時有個上台大的學姐大二懷孕然後就",""
"24689",": 休學了 很可惜這樣","nijivon","休學了很可惜這樣",""
"24690",": 歐洲很多同居生子的，覺得這樣比較好...","pierides47","歐洲很多同居生子的，覺得這樣比較好",""
"24691",": 他們同居法比較完整 沒結婚也還好","pierides47","他們同居法比較完整沒結婚也還好",""
"24692",": 高學歷墮胎有聽過 但未婚生下沒聽說","linyap","高學歷墮胎有聽過但未婚生下沒聽說",""
"24693",": 德國大學都允許未婚生子的學生情侶住家庭宿舍","chungrew","德國大學都允許未婚生子的學生情侶住家庭宿舍",""
"24694",": 不覺得說高學歷者存在未婚生子、存在墮胎有怎樣","chungrew","不覺得說高學歷者存在未婚生子、存在墮胎有怎樣",""
"24695",": 這本來就是事實  有沒有面對而已","chungrew","這本來就是事實有沒有面對而已",""
"24696",": 我覺得要提高生育率就要提供友善生育的環境","chungrew","我覺得要提高生育率就要提供友善生育的環境",""
"24697",": 我親戚，讀醫學院到一半生小孩娶老婆，酷","robin6gg","我親戚，讀醫學院到一半生小孩娶老婆，酷",""
"24698",": 你484想幹到模範年級生生小孩？","bastet729","你484想幹到模範年級生生小孩？",""
"24699",": 不用操心好ㄇ未婚生不是問題 問題來自往後資源教育","ling7777777","不用操心好ㄇ未婚生不是問題問題來自往後資源教育",""
"24700",": 有啊，我念博的時候懷孕，生完繼續念啊，父母幫忙帶","foodyshoot","有啊，我念博的時候懷孕，生完繼續念啊，父母幫忙帶",""
"24701",": 當然沒有，高學歷的意味很清楚自己人生，自制力強","bigmao","當然沒有，高學歷的意味很清楚自己人生，自制力強",""
"24702",": 有阿","MobileShit","有阿",""
"24703",": 還是有","madge1986","還是有",""
"24704",": 沒聽過","YaoYunFan","沒聽過",""
"24705",": 台大醫就有啊 後來有結婚","somia012","台大醫就有啊後來有結婚",""
"24706",": 有阿為什麼不行","tessapttX","有阿為什麼不行",""
"24707",": 高二跳樓了，我覺得不值","saberr33","高二跳樓了，我覺得不值",""
"24708",": 來自雙方父母的壓力太大","saberr33","來自雙方父母的壓力太大",""
"24709",": 有喔 大學未畢業就生小孩 後來還是繼續念到博士","pommealice","有喔大學未畢業就生小孩後來還是繼續念到博士",""
"24710",": 高學歷即使未婚生子也多是在計畫之中，跟低端亂生然後不知道","drph","高學歷即使未婚生子也多是在計畫之中，跟低端亂生然後不知道",""
"24711",": 怎麼辦完全不一樣","drph","怎麼辦完全不一樣",""
"24712",": 很多會未婚生的是不敢去墮胎也不會避孕 這種基因才會流","bastet729","很多會未婚生的是不敢去墮胎也不會避孕這種基因才會流",""
"24713",": 傳...","bastet729","傳",""
"24714",": 高學歷未婚生子：賈伯斯他親媽啊！","iamchuchu","高學歷未婚生子：賈伯斯他親媽啊！",""
"24715",": 有～最後家暴離婚～","beachrabbit","有最後家暴離婚",""
"24716",": 有計畫的未婚生子不是問題，有問題的是無財力的非預期","transiency","有計畫的未婚生子不是問題，有問題的是無財力的非預期",""
"24717",": 懷孕。","transiency","懷孕。",""
"24718",": 現代還是瘟疫...","bastet729","現代還是瘟疫",""
"24719",": 都無子階級了還會介意遺產給誰嗎？","SweetLee","都無子階級了還會介意遺產給誰嗎？",""
"24720",": 把插管老人的管子拔一拔就減壓了，還減少醫療成本","fanfan0113","把插管老人的管子拔一拔就減壓了，還減少醫療成本",""
"24721",": 適度運用ai這段","jfw616","適度運用ai這段",""
"24722",": 就別想太多了","jfw616","就別想太多了",""
"24723",": Ai建立,也是要有人給稅。收無子遺產稅,更難,一堆還沒掛","onomedu","Ai建立,也是要有人給稅。收無子遺產稅,更難,一堆還沒掛",""
"24724",": 之前就把財產轉移了","onomedu","之前就把財產轉移了",""
"24725",": 台灣剩600萬,台灣真的就等人救濟","onomedu","台灣剩600萬,台灣真的就等人救濟",""
"24726",": 與其加稅 不如酒駕抓到一次罰100萬 超速20km以上50萬","Lilyzoea6","與其加稅不如酒駕抓到一次罰100萬超速20km以上50萬",""
"24727",":  逼車、跨線超車罰50萬 社會會更加的安定繁榮","Lilyzoea6","逼車、跨線超車罰50萬社會會更加的安定繁榮",""
